2016-10-27T00:00:02: Error: ENOENT: no such file or directory, open '2016-10-27.json'
2016-10-27T00:00:02: 读取文件失败，可能是该文件不存在
2016-10-27T00:24:33: 读取文件成功
2016-10-27T00:24:36: 读取文件成功
2016-10-27T00:24:39: 读取文件成功
2016-10-27T00:24:42: 读取文件成功
2016-10-27T00:24:45: 读取文件成功
2016-10-27T00:24:48: 读取文件成功
2016-10-27T00:24:51: 读取文件成功
2016-10-27T00:24:54: 读取文件成功
2016-10-27T00:24:57: 读取文件成功
2016-10-27T00:25:00: 读取文件成功
2016-10-27T00:25:03: 读取文件成功
2016-10-27T00:25:06: 读取文件成功
2016-10-27T00:25:09: 读取文件成功
2016-10-27T00:25:12: 读取文件成功
2016-10-27T00:25:15: 读取文件成功
2016-10-27T00:25:18: 读取文件成功
2016-10-27T00:25:21: 读取文件成功
2016-10-27T00:25:24: 读取文件成功
2016-10-27T00:25:27: 读取文件成功
2016-10-27T00:25:30: 读取文件成功
2016-10-27T00:25:33: 读取文件成功
2016-10-27T00:25:36: 读取文件成功
2016-10-27T00:25:39: 读取文件成功
2016-10-27T00:25:42: 读取文件成功
2016-10-27T00:25:46: 读取文件成功
2016-10-27T00:25:49: 读取文件成功
2016-10-27T00:25:51: 读取文件成功
2016-10-27T00:25:54: 读取文件成功
2016-10-27T00:25:58: 读取文件成功
2016-10-27T00:26:01: 读取文件成功
2016-10-27T00:26:04: 读取文件成功
2016-10-27T00:26:07: 读取文件成功
2016-10-27T00:26:10: 读取文件成功
2016-10-27T00:26:13: 读取文件成功
2016-10-27T00:26:16: 读取文件成功
2016-10-27T00:26:19: 读取文件成功
2016-10-27T00:26:22: 读取文件成功
2016-10-27T00:26:25: 读取文件成功
2016-10-27T00:26:28: 读取文件成功
2016-10-27T00:26:31: 读取文件成功
2016-10-27T00:26:34: 读取文件成功
2016-10-27T00:26:37: 读取文件成功
2016-10-27T00:26:40: 读取文件成功
2016-10-27T00:26:43: 读取文件成功
2016-10-27T00:26:46: 读取文件成功
2016-10-27T00:26:49: 读取文件成功
2016-10-27T00:26:52: 读取文件成功
2016-10-27T00:26:55: 读取文件成功
2016-10-27T00:26:58: 读取文件成功
2016-10-27T00:27:01: 读取文件成功
2016-10-27T00:27:04: 读取文件成功
2016-10-27T00:27:07: 读取文件成功
2016-10-27T00:27:10: 读取文件成功
2016-10-27T00:27:13: 读取文件成功
2016-10-27T00:27:16: 读取文件成功
2016-10-27T00:27:19: 读取文件成功
2016-10-27T00:27:22: 读取文件成功
2016-10-27T00:27:25: 读取文件成功
2016-10-27T00:27:28: 读取文件成功
2016-10-27T00:27:31: 读取文件成功
2016-10-27T00:27:34: 读取文件成功
2016-10-27T00:27:37: 读取文件成功
2016-10-27T00:27:40: 读取文件成功
2016-10-27T00:27:43: 读取文件成功
2016-10-27T00:27:46: 读取文件成功
2016-10-27T00:27:49: 读取文件成功
2016-10-27T00:27:52: 读取文件成功
2016-10-27T00:27:55: 读取文件成功
2016-10-27T00:27:58: 读取文件成功
2016-10-27T00:28:01: 读取文件成功
2016-10-27T00:28:04: 读取文件成功
2016-10-27T00:28:07: 读取文件成功
2016-10-27T00:28:10: 读取文件成功
2016-10-27T00:28:13: 读取文件成功
2016-10-27T00:28:16: 读取文件成功
2016-10-27T00:28:19: 读取文件成功
2016-10-27T00:28:22: 读取文件成功
2016-10-27T00:28:25: 读取文件成功
2016-10-27T00:28:28: 读取文件成功
2016-10-27T00:28:31: 读取文件成功
2016-10-27T00:28:34: 读取文件成功
2016-10-27T00:28:37: 读取文件成功
2016-10-27T00:28:40: 读取文件成功
2016-10-27T00:28:43: 读取文件成功
2016-10-27T00:28:46: 读取文件成功
2016-10-27T00:28:49: 读取文件成功
2016-10-27T00:28:52: 读取文件成功
2016-10-27T00:28:55: 读取文件成功
2016-10-27T00:28:58: 读取文件成功
2016-10-27T00:29:01: 读取文件成功
2016-10-27T00:29:04: 读取文件成功
2016-10-27T00:29:07: 读取文件成功
2016-10-27T00:29:10: 读取文件成功
2016-10-27T00:29:14: 读取文件成功
2016-10-27T00:29:16: 读取文件成功
2016-10-27T00:29:20: 读取文件成功
2016-10-27T00:29:22: 读取文件成功
